,toxicity_score,category_encoded,health_impact_encoded,allergen_risk_encoded,risk_level_encoded,toxicity_level,high_toxicity_flag,toxicity_score_squared,toxicity_score_normalized
10,65,14,3,2,2,2,0,4225,0.65
35,0,3,0,1,4,1,0,0,0.0
13,50,15,3,0,2,2,0,2500,0.5
1,90,14,4,2,0,3,1,8100,0.9
37,0,2,0,2,4,1,0,0,0.0
5,85,5,1,2,0,3,1,7225,0.85
24,25,15,5,2,1,1,0,625,0.25
14,50,15,3,2,2,2,0,2500,0.5
16,45,11,2,2,2,2,0,2025,0.45
36,0,7,0,1,4,1,0,0,0.0
33,0,10,0,2,4,1,0,0,0.0
9,70,6,1,2,2,2,0,4900,0.7
21,30,15,5,2,1,1,0,900,0.3
22,30,15,5,2,1,1,0,900,0.3
30,5,16,0,2,3,0,0,25,0.05
18,40,11,5,2,1,1,0,1600,0.4
17,40,11,2,2,1,1,0,1600,0.4
6,80,14,1,2,0,3,1,6400,0.8
28,20,15,5,0,3,0,0,400,0.2
31,5,16,0,2,3,0,0,25,0.05
26,20,8,5,2,3,0,0,400,0.2
2,90,11,4,2,0,3,1,8100,0.9
3,85,11,1,2,0,3,1,7225,0.85
7,75,0,1,2,0,3,1,5625,0.75
15,45,1,2,2,2,2,0,2025,0.45
4,85,11,1,2,0,3,1,7225,0.85
34,0,9,0,2,4,1,0,0,0.0
38,0,2,0,2,4,1,0,0,0.0
0,95,2,4,2,0,3,1,9025,0.95
25,20,4,5,2,3,0,0,400,0.2
39,0,13,0,2,4,1,0,0,0.0
29,20,12,5,2,3,0,0,400,0.2
